qid,text,query
101,من هم قوم شعيب؟,هم قوم شعيب
102,من هم قوم موسى؟,هم قوم موسي
103,من بنى الكعبة؟,بني كعبه
105,من هو النبي المعروف بالصبر؟,هو نبي معروف صبر
106,من كفل السيدة مريم؟,كفل سيد مريم
107,ما معنى الحطمة؟,ما معني حطم
108,من هو اخو سيدنا موسى؟,هو اخو سيد موسي
109,ما معنى القارعة؟,ما معني قارع
110,ما معنى الجاثية؟,ما معني جاثي
111,من هم الاسباط؟,هم اسباط
112,من هي ملكة سبأ؟,هي ملك سبا
115,من هم الذين عقروا الناقة؟,هم الذي عقر ناقه
116,ما عقوبة الربا؟,ما عقوبه ربا
118,ما هي عقوبة السارق؟,ما هي عقوبه سارق
119,ما هي الشجرة الملعونة؟,ما هي شجره ملعون
120,من هو النبي الذي علمه الله لغة الطير والحيوان؟,هو نبي الذي علم الله لغه طير حيوان
121,ما هو ميراث الام عن ولدها إن لم يكن له ولد؟,ما هو ميراث ام ولد ان لم كان ل ولد
122,كم ليلة امر الله زكريا الا يكلم الناس؟,كم ليله امر الله زكريا الا كلم ناس
123,كم مدة عدّة المطلقة؟,كم مده عده مطلق
125,كم عدد الاشهر الحرم؟,كم عدد شهر حرم
127,ما هي الشجرة التي يأكل منها الكفار في النار؟,ما هي شجره الذي اكل من كافر نار
128,من هو النبي الذى دخل السجن؟,هو نبي الذي دخل سجن
129,ما هو الجبل الذي استقرت عليه سفينة نوح؟,ما هو جبل الذي استقر علي سفينه نوح
132,كم فترة رضاعة المولود؟,كم فتره رضاعه مولود
133,أين كانت رحلة الاسراء والمعراج؟,اين كان رحله اسراء معرج
136,ما حكم التعدد في الزواج؟,ما حكم تعدد زواج
137,من هو ابن زكريا؟,هو ابن زكريا
138,من الذي لبث في بطن الحوت؟,الذي لبث بطن حوت
139,ما هي عقوبة القتل خطأ؟,ما هي عقوبه قتل خطا
140,ما هي عقوبة القتل العمد؟,ما هي عقوبه قتل عمد
141,من هم المطففون؟,هم مطفف
142,كم عدد حملة العرش؟,كم عدد حمله عرش
143,ما هو وصف الحور العين؟,ما هو وصف احور عين
144,من هو ابو سيدنا يوسف عليه السلام؟,هو ابو سيد يوسف علي سلام
145,من هو قارون؟,هو قارون
146,ما هي كفارة الظهار؟,ما هي كفاره ظهار
147,ما هي كفارة اليمين؟,ما هي كفاره يمين
149,ما هو جزاء من يقول إن لله ولد؟,ما هو جزاء قال ان الله ولد
151,اين تقع قبلة المسلمين الأولى؟,اين وقع قبله مسلم اول
152,في كم يوم خلق الله الكون؟,كم يوم خلق الله كون
153,ما هو فضل ليلة القدر؟,ما هو فضل ليله قدر
154,ما هو الكتاب الذي انزل على موسى؟,ما هو كتاب الذي انزل موسي
155,ما هو الكتاب الذي انزل على عيسى؟,ما هو كتاب الذي انزل عيسي
159,ما هي لغة القرآن؟,ما هي لغه قران
160,من هو المسيح؟,هو مسيح
163,من الذي صنع عجلا من الحلي لبني إسرائيل؟,الذي صنع عجل حلي بني اسراءيل
164,ما المخلوقات التي تسبح الله؟,ما مخلوق الذي سبح الله
201,ما هي الآيات التي تتحدث عن موضوع الوصية؟,ما هي ايه الذي تحدث موضوع وصيه
202,ما هي الآيات التي تتحدث عن موضوع الوصية في سورة المائدة؟,ما هي ايه الذي تحدث موضوع وصيه سوره ماءده
204,من هم أبناء سيدنا ابراهيم عليه السلام؟,هم ابن سيد ابراهيم علي سلام
205,ماذا حدث لقابيل وهابيل؟,ماذا حدث قابيل هابيل
208,من هو ذو القرنين؟,هو ذو قرن
209,ما هي الأحداث المتعلقة بذي القرنين؟,ما هي حدث متعلق ذو قرن
211,ما هي معجزات النبي موسى عليه السلام؟,ما هي معجزه نبي موسي علي سلام
212,من هم الحواريون؟,هم حواري
216,ما هي الأحداث المتعلقة بداوود عليه السلام؟,ما هي حدث متعلق داوود علي سلام
217,كم نام أهل الكهف؟,كم نامي اهل كهف
219,من  الذي عايش سيدنا عيسى عليه السلام؟,الذي عاءش سيد عيسي علي سلام
220,من هم الرسل الذين عاشوا في مصر؟,هم رسول الذي عاش مصر
225,لماذا جعل الله معجزة سيدنا صالح الناقة؟,لماذا جعل الله معجزه سيد صالح ناقه
227,هل عاش سيدنا موسى في مصر؟,هل عاش سيد موسي مصر
230,أين نزلت سورة العلق؟,اين نزل سوره علق
231,ما هي انواع الحيوانات التي ذكرت في القرآن؟,ما هي انواع حيوان الذي ذكر قران
232,ما هي اسماء المدن المذكورة في القرآن؟,ما هي اسماء مدينه مذكور قران
233,ما هي قصة تسعة رهط؟,ما هي قصه تسع رهط
235,اين عاش قوم عاد؟,اين عاش قوم عاد
236,كيف اهلك الله قوم عاد؟,كيف اهلك الله قوم عاد
237,كيف خرج سيدنا يوسف عليه السلام من السجن؟,كيف خرج سيد يوسف علي سلام سجن
238,كيف اهلك الله قوم ثمود؟,كيف اهلك الله قوم ثمود
240,من هم القوم الذين حولهم الله إلى قردة؟,هم قوم الذي حول الله قرد
243,من هو النبي الذي تكلم مع الهدهد؟,هو نبي الذي تكلم مع هدهد
244,اين نزلت التوراة على سيدنا موسى؟,اين نزل توراه سيد موسي
248,ما هي قصة اصحاب السبت؟,ما هي قصه اصحاب سبت
249,ماذا حدث لسيدنا يونس بعد ان ابتلعه الحوت ؟,ماذا حدث سيد يونس بعد ان ابتلع حوت
