qid,text,query
500,من ماذا نجى الله سبحانه وتعالى سيدنا إبراهيم؟,ماذا نجي الله سبحان تعالي سيد ابراهيم
502,ما الدلائل على أن الانبياء والرسل لا يعلمون الغيب؟,ما دليل ان نبي رسول لا علم غيب
504,أين يقع الكهف الذي أوى إليه فتية الكهف؟,اين وقع كهف الذي اوي الي فتي كهف
505,ما الدلائل على أن القرآن أُنزل لجميع الناس أو جميع الأمم والشعوب؟,ما دليل ان قران انزل جميع ناس او جميع امه شعب
508,مع ازدياد عدد سكان الارض، هل يجب أن نقلق أو نخاف من عدم كفاية مصادر الغذاء والرزق؟,مع ازدياد عدد ساكن ارض هل وجب ان قلق او خاف عدم كفايه مصدر غذاء رزق
510,"اتفاقية """"سيداو"""" تقول لا يُسمح للرجل بتعدد الزوجات. كيف نرد على ذلك من نصوص القرآن؟",اتفاقيه يداو قال لا سمح رجل تعدد زوجه كيف رد ذلك نص قران
513,"اتفاقية """"سيداو"""" تقول الرجل لا يملك الولاية على المرأة والأب لا يملك الولاية على بناته.  كيف نرد على ذلك من نصوص القرآن؟",اتفاقيه يداو قال رجل لا ملك ولايه مراه اب لا ملك ولايه بنت كيف رد ذلك نص قران
518,لكون البخل لا يقتصر على المال فقط، ماذا يشمل البخل او الشح (بما فيه المال)؟,كون بخل لا اقتصر مال فقط ماذا شمل بخل او شح ما في مال
519,ما هي عواقب البخل أو الشح؟,ما هي عاقبه بخل او شح
521,من المشككين من يتساءل: هل عوقب جميع البشر على ذنب اقترفه سيدنا آدم؟,مشكك تساءل هل عاقب جميع بشر ذنب اقترف سيد ادم
522,ما الفرق بين التبذير والإسراف؟,ما فرقه بين تبذير سرف
525,ماذا تشمل الأمانة في القرآن؟,ماذا شمل امانه قران
527,لماذا قد يبتلي الله المؤمنين قبل أن يمكنهم؟,لماذا قد ابتلي الله مءمن قبل ان امكن
528,هل يقتصر الابتلاء على العاصي لله دون غيره؟,هل اقتصر ابتلاء عاصي الله دون غير
529,هل يمكن أن يكون الابتلاء بفتح الرزق والخيرات عموما؟,هل امكن ان كان ابتلاء فتح رزق خيره عموم
531,هل يقبل الله عملا صالحا قام به شخص غير مؤمن بالله؟,هل قبل الله عمل صالح قام ب شخص غير مءمن الله
533,ما هو ثواب من يعفو ويصفح؟,ما هو ثواب عفا صفح
534,الحلي من الذهب لا يجوز أن يلبسها الرجل في الدنيا، هل سيكون مباحا لبسها في الآخرة؟,حلي ذهب لا جاز ان لبس رجل دنيا هل كان مباح لبس اخره
535,ما معنى القلب المنيب؟,ما معني قلب منيب
536,هل يريد الله منا أن نكون قانتين؟,هل اراد الله من ان كان قانء
539,ما هي وسائل استمالة وكسب القلوب (حتى القاسية منها)؟,ما هي وسيله استمال كسب قلب قاسي من
540,ما هي وسائل تحقيق السعادة والحياة الطيبة في الدنيا؟,ما هي وسيله تحقيق سعاده حياه طيب دنيا
541,لماذا ذكر القران بأن اليهود أو بني إسرائيل يُخربون بيوتهم بأيديهم؟,لماذا ذكر قران ان يهودي او بنون اسراءيل اخرب بيت يد
542,ما هي أفضل الوسائل لاكتساب العزيمة والشجاعة في الإقدام على أي عمل (وخاصة العمل الذي به صعوبة ومشقة)؟,ما هي افضل وسيله اكتساب عزيمه شجاعه اقدام اي عمل خاص عمل الذي ب صعوبه مشقه
544,ما هي الحادثة التي تدل على أن الإنسان غير مهيأ لرؤية الله في الدنيا؟,ما هي حادث الذي دل ان انسان غير مهيا رءيه الله دنيا
545,هل هناك فرق بين علم اليقين وعين اليقين؟,هل هناك فرق بين علم يقين عين يقين
546,ما الفرق بين علم اليقين وحق اليقين؟,ما فرقه بين علم يقين حق يقين
547,من هو الصحابي الذي قال له رسول الله (صلى الله عليه وسلم) في الغار لا تحزن إن الله معنا؟,هو صحابي الذي قال ل رسول الله صلي الله علي سلم غار لا حزن ان الله مع
550,من هم الأنبياء الذين وصفهم الله بالحلم؟,هم نبي الذي وصف الله حلم
552,هل ربط القرآن التنازع  بالفشل؟,هل ربط قران تنازع فشل
554,ما معنى كلمة أواب في القرآن؟,ما معني كلمه اواب قران
555,بماذا شبه الله الإنسان الذي يغتاب الآخرين؟,ماذا شبه الله انسان الذي يغتاب اخر
557,"في سورة المجادلة قال الله تعالى """"إنما النجوى من الشيطان"""" مع أن التناجي يمكن أن يكون بالبر والتقوى وليس مقتصرا على الإثم والعدوان. فلماذا نهانا الله عن النجوى في بعض الآيات؟",سوره مجادله قال الله تعالي ان نجوي شيطان مع ان ناجي امكن ان كان بر تقوي ليس مقتصر اثم عدوان لماذا نها الله نجوي بعض ايه
